"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11"
"77070","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1647,1625,1795,1700,1700,1697.5,1697.5,1700,1685,1700,1700,1750,1795,1800,1750,1700,1775,1800,1865,1800,1750,1750,1750,1750,1750,1775,1790,1949.5,1974.5,1999.5,1915,1885,1850,1822.5
"07305","Jersey City","NJ","New York-Newark-Jersey City","Hudson County",96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,2000,2000,1949.5,2000,1995,1900,1900,1899.5,1900,1900,1995,1900,1949,1861.5,1950,1950,2000,1949.5
"75068","Little Elm","TX","Dallas-Fort Worth-Arlington","Denton County",97,,,,,,,,,,,,,,,,,,,,,,,,,,,1695,1650,1650,1600,1650,1650,1600,1625,1600,1595,1595,1600,1597.5,1600,1650,1697.5,1650,1650,1695,1695,1700,1750,1795,1699.5,1725,1697.5,1750,1795,1797.5,1850,1850,1800,1785,1840,1895,1825,1825,1795,2000,1795,1750,1897.5,1850,1925,1800,1795,1796.5,1875,1800,1950,1995,1900,1950,1900,1900,1895,1850,1850,1850,1950,1950,1987.5,1950,1950,1895,1990,1945,1892.5,1900,1995,2100,2100,1995,2000,2100,2095,2000,1970,2000,2000,1995
"89147","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",98,,,,,,,,,,,,,1300,1300,1300,1350,1350,1350,1350,1350,1350,1300,1300,1297.5,1300,1300,1350,1495,1450,1400,1322.5,1300,1375,1385,1395,1395,1375,1400,1400,1400,1400,1420,1432.5,1375,1450,1450,1395,1395,1467.5,1425,1400,1450,1467.5,1450,1485,1496.5,1350,1400,1400,1395,1407.5,1500,1600,1535,1495,1550,1530,1395,1450,1487.5,1399,1485,1400,1450,1500,1650,1600,1650,1650,1574,1550,1550,1547.5,1595,1650,1600,1695,1697.5,1672.5,1650,1700,1750,1750,1700,1700,1795,1700,1699,1772.5,1750,1750,1887.5,1895,1792.5,1789.5,1750,1697.5
"75071","McKinney","TX","Dallas-Fort Worth-Arlington","Collin County",99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850,1800,1795,1900,1950,1950,1950,1900,1895,1895,1837.5,1812.5,1850,1850,1850,1900,1900,1895,1995,1995,1972.5,1925,1875,1975,1950,1995,1997.5,2000,2055,2197.5,1995,1995,1950,1947.5,1945,1950,1900
"06511","New Haven","CT","New Haven-Milford","New Haven County",100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1575,1600,1650,1700,1562.5,1597.5,1650,1650,1625,1650,1595,1650,1697.5,1750,1650,1747.5,1825,1684,1625,1667,1625,1600,1692,1750,1825,1800,1700,1700,1700,1700,1695,1650,1500
"30114","Canton","GA","Atlanta-Sandy Springs-Roswell","Cherokee County",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1477.5,1517,1500,1554.5,1550,1550,1612.5,1600,1587.5,1580,1565,1575,1600,1582.5,1595,1595.5,1645,1645,1595,1595.5,1539,1512.5,1595,1602,1680,1685,1675,1695,1730,1700,1716,1720,1707.5,1700,1680,1657.5
"33178","Doral","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",102,2500,2500,2500,2600,2550,2695,2600,2600,2600,2600,2600,2600,2697.5,2650,2700,2700,2750,2700,2800,2600,2600,2700,2700,2700,2625,2600,2625,2750,2800,2750,2750,2700,2650,2650,2650,2650,2650,2650,2600,2600,2700,2770,2800,2800,2775,2750,2700,2700,2700,2800,2850,2850,2900,3000,2850,2900,2950,3000,2950,2925,2900,2950,2950,2970,3000,2860,2850,2900,2975,2900,2874.5,2775,2800,2874.5,2900,2899.5,2825,2950,2997.5,2900,2900,2900,2900,2937.5,2912.5,2950,3000,3050,3100,3000,3000,2990,2970,2950,2950,2900,2900,2900,2950,2950,2970,2900,2900,3000,3000,3000,3100
"29229","Columbia","SC","Columbia","Richland County",103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,1350,1350,1397.5,1435,1537.5,1495,1460,1400,1450,1400,1397.5,1390,1357.5,1400,1435,1425,1425,1450,1450,1400,1437.5,1495,1412.5,1400,1440,1465,1470,1500,1500,1550,1499,1485,1495,1465
"23456","Virginia Beach","VA","Virginia Beach-Norfolk-Newport News","Virginia Beach City",104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950,1975,1995,1900,2000,1950,1895,1995,1975,1895,1897.5,1900,1995,1900,2100,2150,2097.5,1995,1975,1950,2100,2075,2000,2000,1995,1950,1925,1995,1950,2050,2205,2250,2125,2087.5
